areaName,areaAcronym,areaSize,propertyCrimeEvents,ratio
Port of Los Angeles,PTL,4.198E1,9,2.14E-1
Los Angeles International Airport,LAX,2.357E1,5,2.12E-1
Sherman Oaks ,SHR,5.187E1,11,2.12E-1
Harbor Gateway,HAR,1.907E1,4,2.1E-1
Wilmington ,WLM,3.827E1,8,2.09E-1
Encino ,ENC,7.696E1,16,2.08E-1
West Adams ,WAD,4.85E1,10,2.06E-1
Van Nuys ,VNY,4.88E1,10,2.05E-1
Arleta ,ARL,3.932E1,8,2.03E-1
Granada Hills ,GHL,6.166E1,12,1.95E-1
Brentwood ,BTW,1.4404E2,28,1.94E-1
Sherman Oaks ,SHR,5.187E1,10,1.93E-1
Sun Valley ,SVY,6.237E1,12,1.92E-1
Hollywood,HWD,9.506E1,18,1.89E-1
Wilshire,WIL,5.298E1,10,1.89E-1
Northridge,NRD,3.762E1,7,1.86E-1
Canoga Park ,CPK,1.0618E2,19,1.79E-1
Granada Hills ,GHL,6.166E1,11,1.78E-1
Sunland ,SLD,9.734E1,17,1.75E-1
Westlake,WLK,1.148E1,2,1.74E-1
Sylmar,SYL,4.691E1,8,1.71E-1
Venice,VEN,1.184E1,2,1.69E-1
South Los Angeles,SLA,5.953E1,10,1.68E-1
Central City North,CCN,1.195E1,2,1.67E-1
Van Nuys ,VNY,4.88E1,8,1.64E-1
Palms ,PLM,3.106E1,5,1.61E-1
Northridge,NRD,3.762E1,6,1.59E-1
Wilmington ,WLM,3.827E1,6,1.57E-1
Harbor Gateway,HAR,1.907E1,3,1.57E-1
Arleta ,ARL,3.932E1,6,1.53E-1
Central City,CCY,1.319E1,2,1.52E-1
North Hollywood ,NHL,4.025E1,6,1.49E-1
San Pedro,SPD,2.798E1,4,1.43E-1
Westwood,WWD,1.394E1,2,1.43E-1
Northeast Los Angeles,NLA,9.278E1,13,1.4E-1
Southeast Los Angeles,SEL,5.742E1,8,1.39E-1
Mission Hills ,MSS,4.491E1,6,1.34E-1
South Los Angeles,SLA,5.953E1,8,1.34E-1
Boyle Heights,BHT,2.261E1,3,1.33E-1
Encino ,ENC,7.696E1,10,1.3E-1
Westchester ,WCH,3.081E1,4,1.3E-1
Reseda ,RES,4.613E1,6,1.3E-1
Los Angeles International Airport,LAX,2.357E1,3,1.27E-1
Van Nuys ,VNY,4.88E1,6,1.23E-1
Chatsworth ,CHT,9.229E1,11,1.19E-1
South Los Angeles,SLA,5.953E1,7,1.18E-1
Granada Hills ,GHL,6.166E1,7,1.14E-1
Sunland ,SLD,9.734E1,11,1.13E-1
Wilshire,WIL,5.298E1,6,1.13E-1
West Los Angeles,WLA,2.704E1,3,1.11E-1
Chatsworth ,CHT,9.229E1,10,1.08E-1
San Pedro,SPD,2.798E1,3,1.07E-1
Harbor Gateway,HAR,1.907E1,2,1.05E-1
Wilmington ,WLM,3.827E1,4,1.05E-1
Southeast Los Angeles,SEL,5.742E1,6,1.05E-1
Encino ,ENC,7.696E1,8,1.04E-1
Canoga Park ,CPK,1.0618E2,11,1.04E-1
Brentwood ,BTW,1.4404E2,15,1.04E-1
West Adams ,WAD,4.85E1,5,1.03E-1
Sherman Oaks ,SHR,5.187E1,5,9.6E-2
Sun Valley ,SVY,6.237E1,6,9.6E-2
Hollywood,HWD,9.506E1,9,9.5E-2
Canoga Park ,CPK,1.0618E2,10,9.4E-2
Boyle Heights,BHT,2.261E1,2,8.8E-2
Reseda ,RES,4.613E1,4,8.7E-2
Westlake,WLK,1.148E1,1,8.7E-2
Los Angeles International Airport,LAX,2.357E1,2,8.5E-2
Sylmar,SYL,4.691E1,4,8.5E-2
Venice,VEN,1.184E1,1,8.4E-2
Central City North,CCN,1.195E1,1,8.4E-2
South Los Angeles,SLA,5.953E1,5,8.4E-2
West Adams ,WAD,4.85E1,4,8.2E-2
Sun Valley ,SVY,6.237E1,5,8.0E-2
Northridge,NRD,3.762E1,3,8.0E-2
Sherman Oaks ,SHR,5.187E1,4,7.7E-2
Central City,CCY,1.319E1,1,7.6E-2
Wilshire,WIL,5.298E1,4,7.6E-2
Chatsworth ,CHT,9.229E1,7,7.6E-2
Northeast Los Angeles,NLA,9.278E1,7,7.5E-2
Canoga Park ,CPK,1.0618E2,8,7.5E-2
Silver Lake ,SLK,2.693E1,2,7.4E-2
West Los Angeles,WLA,2.704E1,2,7.4E-2
Westwood,WWD,1.394E1,1,7.2E-2
Sunland ,SLD,9.734E1,7,7.2E-2
Port of Los Angeles,PTL,4.198E1,3,7.1E-2
San Pedro,SPD,2.798E1,2,7.1E-2
Bel Air ,BAR,5.73E1,4,7.0E-2
Brentwood ,BTW,1.4404E2,10,6.9E-2
Mission Hills ,MSS,4.491E1,3,6.7E-2
Westchester ,WCH,3.081E1,2,6.5E-2
Granada Hills ,GHL,6.166E1,4,6.5E-2
Encino ,ENC,7.696E1,5,6.5E-2
Sylmar,SYL,4.691E1,3,6.4E-2
Palms ,PLM,3.106E1,2,6.4E-2
Van Nuys ,VNY,4.88E1,3,6.1E-2
Hollywood,HWD,9.506E1,5,5.3E-2
Harbor Gateway,HAR,1.907E1,1,5.2E-2
Southeast Los Angeles,SEL,5.742E1,3,5.2E-2
Bel Air ,BAR,5.73E1,3,5.2E-2
Arleta ,ARL,3.932E1,2,5.1E-2
South Los Angeles,SLA,5.953E1,3,5.0E-2
North Hollywood ,NHL,4.025E1,2,5.0E-2
Granada Hills ,GHL,6.166E1,3,4.9E-2
Port of Los Angeles,PTL,4.198E1,2,4.8E-2
Sun Valley ,SVY,6.237E1,3,4.8E-2
Mission Hills ,MSS,4.491E1,2,4.5E-2
Boyle Heights,BHT,2.261E1,1,4.4E-2
Sylmar,SYL,4.691E1,2,4.3E-2
Reseda ,RES,4.613E1,2,4.3E-2
Chatsworth ,CHT,9.229E1,4,4.3E-2
Los Angeles International Airport,LAX,2.357E1,1,4.2E-2
Brentwood ,BTW,1.4404E2,6,4.2E-2
Sunland ,SLD,9.734E1,4,4.1E-2
West Adams ,WAD,4.85E1,2,4.1E-2
Wilshire,WIL,5.298E1,2,3.8E-2
West Los Angeles,WLA,2.704E1,1,3.7E-2
Silver Lake ,SLK,2.693E1,1,3.7E-2
San Pedro,SPD,2.798E1,1,3.6E-2
Bel Air ,BAR,5.73E1,2,3.5E-2
Southeast Los Angeles,SEL,5.742E1,2,3.5E-2
South Los Angeles,SLA,5.953E1,2,3.4E-2
Chatsworth ,CHT,9.229E1,3,3.3E-2
Northeast Los Angeles,NLA,9.278E1,3,3.2E-2
Palms ,PLM,3.106E1,1,3.2E-2
Westchester ,WCH,3.081E1,1,3.2E-2
Granada Hills ,GHL,6.166E1,2,3.2E-2
Sunland ,SLD,9.734E1,3,3.1E-2
Canoga Park ,CPK,1.0618E2,3,2.8E-2
Northridge,NRD,3.762E1,1,2.7E-2
Wilmington ,WLM,3.827E1,1,2.6E-2
Encino ,ENC,7.696E1,2,2.6E-2
Arleta ,ARL,3.932E1,1,2.5E-2
North Hollywood ,NHL,4.025E1,1,2.5E-2
Port of Los Angeles,PTL,4.198E1,1,2.4E-2
Mission Hills ,MSS,4.491E1,1,2.2E-2
Chatsworth ,CHT,9.229E1,2,2.2E-2
Reseda ,RES,4.613E1,1,2.2E-2
Northeast Los Angeles,NLA,9.278E1,2,2.2E-2
Sylmar,SYL,4.691E1,1,2.1E-2
Hollywood,HWD,9.506E1,2,2.1E-2
Brentwood ,BTW,1.4404E2,3,2.1E-2
Sunland ,SLD,9.734E1,2,2.1E-2
West Adams ,WAD,4.85E1,1,2.1E-2
Van Nuys ,VNY,4.88E1,1,2.0E-2
Sherman Oaks ,SHR,5.187E1,1,1.9E-2
Wilshire,WIL,5.298E1,1,1.9E-2
Canoga Park ,CPK,1.0618E2,2,1.9E-2
South Los Angeles,SLA,5.953E1,1,1.7E-2
Southeast Los Angeles,SEL,5.742E1,1,1.7E-2
Bel Air ,BAR,5.73E1,1,1.7E-2
Granada Hills ,GHL,6.166E1,1,1.6E-2
Sun Valley ,SVY,6.237E1,1,1.6E-2
Brentwood ,BTW,1.4404E2,2,1.4E-2
Encino ,ENC,7.696E1,1,1.3E-2
Hollywood,HWD,9.506E1,1,1.1E-2
Northeast Los Angeles,NLA,9.278E1,1,1.1E-2
Chatsworth ,CHT,9.229E1,1,1.1E-2
Sunland ,SLD,9.734E1,1,1.0E-2
Canoga Park ,CPK,1.0618E2,1,9.0E-3
Brentwood ,BTW,1.4404E2,1,7.0E-3
